time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-18 00:00:00+00:00,2,2,30,14
2022-10-19 00:00:00+00:00,0,0,32,13
2022-10-20 00:00:00+00:00,9,1,35,10
2022-10-21 00:00:00+00:00,6,5,53,9
2022-10-22 00:00:00+00:00,11,3,19,9
2022-10-23 00:00:00+00:00,9,3,32,12
2022-10-24 00:00:00+00:00,3,2,71,20
2022-10-25 00:00:00+00:00,5,4,54,16
2022-10-26 00:00:00+00:00,1,1,69,19
2022-10-27 00:00:00+00:00,3,3,80,20
2022-10-28 00:00:00+00:00,3,3,297,26
2022-10-29 00:00:00+00:00,4,2,94,16
2022-10-30 00:00:00+00:00,1,1,82,13
2022-10-31 00:00:00+00:00,6,4,148,22
2022-11-01 00:00:00+00:00,4,3,66,18
2022-11-02 00:00:00+00:00,11,5,79,18
2022-11-03 00:00:00+00:00,0,0,56,19
2022-11-04 00:00:00+00:00,3,2,38,15
2022-11-05 00:00:00+00:00,1,1,36,11
2022-11-06 00:00:00+00:00,0,0,55,15
2022-11-07 00:00:00+00:00,2,2,42,20
2022-11-08 00:00:00+00:00,5,5,30,14
2022-11-09 00:00:00+00:00,5,5,31,17
2022-11-10 00:00:00+00:00,4,3,20,8
2022-11-11 00:00:00+00:00,1,1,14,13
2022-11-12 00:00:00+00:00,0,0,16,8
2022-11-13 00:00:00+00:00,3,1,19,14
2022-11-14 00:00:00+00:00,1,1,58,21
2022-11-15 00:00:00+00:00,0,0,286,41
2022-11-16 00:00:00+00:00,2,2,205,39
2022-11-17 00:00:00+00:00,1,1,32,21
2022-11-18 00:00:00+00:00,46,29,68,23
2022-11-19 00:00:00+00:00,163,69,57,14
2022-11-20 00:00:00+00:00,95,57,47,19
2022-11-21 00:00:00+00:00,136,70,103,26
2022-11-22 00:00:00+00:00,93,50,64,24
2022-11-23 00:00:00+00:00,22,18,62,29
2022-11-24 00:00:00+00:00,1,1,92,35
2022-11-25 00:00:00+00:00,5,3,97,24
2022-11-26 00:00:00+00:00,1,1,17,12
2022-11-27 00:00:00+00:00,1,1,13,10
2022-11-28 00:00:00+00:00,3,3,24,15
2022-11-29 00:00:00+00:00,1,1,61,22
2022-11-30 00:00:00+00:00,2,2,48,12
2022-12-01 00:00:00+00:00,2,2,41,18
2022-12-02 00:00:00+00:00,1,1,62,16
2022-12-03 00:00:00+00:00,1,1,22,7
2022-12-04 00:00:00+00:00,0,0,8,7
2022-12-05 00:00:00+00:00,0,0,22,8
2022-12-06 00:00:00+00:00,53,33,65,18
2022-12-07 00:00:00+00:00,65,33,55,12
2022-12-08 00:00:00+00:00,22,15,79,24
2022-12-09 00:00:00+00:00,5,4,74,24
2022-12-10 00:00:00+00:00,3,3,27,15
2022-12-11 00:00:00+00:00,4,4,48,10
2022-12-12 00:00:00+00:00,8,6,78,22
2022-12-13 00:00:00+00:00,11,11,55,21
2022-12-14 00:00:00+00:00,13,12,66,28
2022-12-15 00:00:00+00:00,0,0,162,41
2022-12-16 00:00:00+00:00,1,1,53,32
2022-12-17 00:00:00+00:00,1,1,34,12
2022-12-18 00:00:00+00:00,59,49,23,11
2022-12-19 00:00:00+00:00,148,84,9,6
2022-12-20 00:00:00+00:00,92,69,12,11
2022-12-21 00:00:00+00:00,60,44,37,21
2022-12-22 00:00:00+00:00,103,69,24,11
2022-12-23 00:00:00+00:00,30,25,36,16
2022-12-24 00:00:00+00:00,0,0,8,7
2022-12-25 00:00:00+00:00,1,1,10,5
2022-12-26 00:00:00+00:00,1,1,14,9
2022-12-27 00:00:00+00:00,0,0,38,17
2022-12-28 00:00:00+00:00,0,0,60,25
2022-12-29 00:00:00+00:00,0,0,32,18
2022-12-30 00:00:00+00:00,3,2,68,24
2022-12-31 00:00:00+00:00,2,1,16,13
2023-01-01 00:00:00+00:00,0,0,21,7
2023-01-02 00:00:00+00:00,5,3,36,14
2023-01-03 00:00:00+00:00,40,31,229,46
2023-01-04 00:00:00+00:00,65,48,49,27
2023-01-05 00:00:00+00:00,61,41,35,13
2023-01-06 00:00:00+00:00,71,43,71,24
2023-01-07 00:00:00+00:00,20,18,31,15
2023-01-08 00:00:00+00:00,2,2,20,14
2023-01-09 00:00:00+00:00,3,3,44,20
2023-01-10 00:00:00+00:00,5,3,36,19
2023-01-11 00:00:00+00:00,0,0,42,18
2023-01-12 00:00:00+00:00,2,2,73,16
2023-01-13 00:00:00+00:00,2,2,28,8
